id,post__content_id,user__user_id,community_id,event_type,timestamp,location,created_at,updated_at
122,187,28,mindplex,dislike,1663688781,103.215.170.48,2022-09-20 15:46:21.815182+00:00,2022-09-20 15:46:21.815200+00:00
124,77,28,mindplex,react-positive,1663690074,103.215.170.48,2022-09-20 16:07:54.752411+00:00,2022-09-20 16:07:54.752429+00:00
13907,77,969,mindplex,view,1692045465,36.77.53.179,2023-08-14 01:02:42.528858+00:00,2023-08-14 20:37:45.691513+00:00
3,187,1,mindplex,view,1685015936,196.188.75.100,2022-08-20 13:31:23.009940+00:00,2023-05-25 11:58:56.407357+00:00
40,167,13,mindplex,view,1663052635,196.188.75.100,2022-08-24 10:24:37.752959+00:00,2022-09-13 07:03:55.757124+00:00
75,187,29,mindplex,view,1662036592,196.188.75.100,2022-09-01 12:49:52.314086+00:00,2022-09-01 12:49:52.545686+00:00
730,1063,13,mindplex,view,1678093900,196.188.75.100,2023-01-24 13:48:16.144983+00:00,2023-03-06 09:11:40.184154+00:00
1,149,1,mindplex,view,1691739727,196.188.75.100,2022-08-20 13:29:42.903585+00:00,2023-08-11 07:42:07.356929+00:00
37,149,3,mindplex,view,1700497395,196.191.60.9,2022-08-23 19:34:14.694077+00:00,2023-11-20 16:23:15.223249+00:00
25,187,11,mindplex,view,1675044853,73.162.2.252,2022-08-23 02:47:24.302254+00:00,2023-01-30 02:14:14.145397+00:00
30,41,11,mindplex,view,1682576631,73.162.2.252,2022-08-23 02:47:26.133973+00:00,2023-04-27 06:23:52.059553+00:00
27,167,11,mindplex,view,1661283968,73.162.2.252,2022-08-23 02:47:25.035728+00:00,2022-08-23 19:46:08.474452+00:00
335,187,46,mindplex,view,1666857648,103.215.170.48,2022-10-27 08:00:48.942284+00:00,2022-10-27 08:00:48.942325+00:00
9,41,3,mindplex,view,1686929743,197.156.86.136,2022-08-20 14:00:48.493866+00:00,2023-06-16 15:35:44.117547+00:00
73,77,6,mindplex,view,1695905875,86.173.174.6,2022-08-31 23:25:28.660845+00:00,2023-09-28 12:57:55.440132+00:00
48,187,13,mindplex,view,1677826974,23.106.56.13,2022-08-25 09:01:46.956148+00:00,2023-03-03 07:02:54.378143+00:00
32,77,11,mindplex,view,1688364852,73.162.2.252,2022-08-23 02:47:26.864618+00:00,2023-07-03 06:14:13.138597+00:00
4400,2747,112,mindplex,like,1682436903,76.125.32.54,2023-04-25 15:35:03.260122+00:00,2023-04-25 15:35:03.260138+00:00
80,187,31,mindplex,view,1664871825,103.215.170.48,2022-09-07 05:15:10.464648+00:00,2022-10-04 08:23:45.794180+00:00
47,187,21,mindplex,view,1686930684,197.156.86.136,2022-08-25 08:59:30.747659+00:00,2023-06-16 15:51:25.062281+00:00
51,77,13,mindplex,view,1680776687,196.188.75.100,2022-08-25 09:23:07.922521+00:00,2023-04-06 10:24:47.433448+00:00
22,167,1,mindplex,view,1661171294,196.188.75.100,2022-08-22 12:27:44.054254+00:00,2022-08-22 12:28:15.130019+00:00
43,77,3,mindplex,view,1686990868,190.2.138.17,2022-08-24 12:48:46.881438+00:00,2023-06-17 08:34:28.253036+00:00
59,187,24,mindplex,like,1661515376,196.188.75.100,2022-08-26 12:02:56.970220+00:00,2022-08-26 12:02:56.970241+00:00
46,77,21,mindplex,view,1686931041,197.156.86.136,2022-08-24 13:52:14.807038+00:00,2023-06-16 15:57:21.996435+00:00
42,77,20,mindplex,view,1681210754,122.173.25.167,2022-08-24 12:41:16.702520+00:00,2023-04-11 10:59:14.482989+00:00
8,187,3,mindplex,view,1686990611,190.2.138.17,2022-08-20 13:54:00.578069+00:00,2023-06-17 08:30:11.536687+00:00
58,187,24,mindplex,view,1661515387,196.188.75.100,2022-08-26 12:02:52.033437+00:00,2022-08-26 12:03:07.581719+00:00
66,149,21,mindplex,view,1700491669,196.191.60.9,2022-08-31 12:24:07.678695+00:00,2023-11-20 14:47:50.142911+00:00
44,187,20,mindplex,view,1681206226,122.173.25.167,2022-08-24 12:49:46.251825+00:00,2023-04-11 09:43:46.272179+00:00
338,187,46,mindplex,like,1666857656,103.215.170.48,2022-10-27 08:00:57.027489+00:00,2022-10-27 08:00:57.027507+00:00
341,77,46,mindplex,view,1666857667,103.215.170.48,2022-10-27 08:01:08.034571+00:00,2022-10-27 08:01:08.034589+00:00
10,167,3,mindplex,view,1661950164,196.188.75.100,2022-08-20 14:13:45.224359+00:00,2022-08-31 12:49:25.153098+00:00
64,187,22,mindplex,view,1661788648,2.25.110.153,2022-08-29 15:57:28.709405+00:00,2022-08-29 15:57:28.941451+00:00
65,187,6,mindplex,view,1661871323,196.188.75.100,2022-08-30 14:55:23.425830+00:00,2022-08-30 14:55:23.888400+00:00
684,1019,21,mindplex,view,1674573546,196.188.75.100,2023-01-24 09:54:35.314477+00:00,2023-01-24 15:19:07.193545+00:00
747,1063,48,mindplex,view,1674573686,37.228.211.76,2023-01-24 15:21:26.599455+00:00,2023-01-24 15:21:26.599473+00:00
